city-city,dist
Stuttgart-Valencia,1285.5451008411985
Stuttgart-Naples,968.4766154185918
Stuttgart-Dublin,1194.1970932535648
Stuttgart-Athens,1675.0858691888754
Stuttgart-Barcelona,990.0843126322601
Stuttgart-Gothenburg,1010.5915233663065
Stuttgart-Nuremburg,155.57822605275015
Stuttgart-Braunschweig,398.9177880076359
Stuttgart-Hanover,401.58316233317765
Stuttgart-Antwerp,437.9522090302938
Stuttgart-Brescia,368.1031802089196
Frankfurt-Stockholm,1192.9363961482752
Frankfurt-Brussels,318.9984081352308
Frankfurt-Vienna,599.0184158984765
Frankfurt-Lisbon,1891.8128918674274
Frankfurt-Marseille,797.6311443399737
Frankfurt-Cologne,153.51101947180112
Frankfurt-Helsinki,1519.4492413788505
Frankfurt-Lyon,560.3548975624507
Frankfurt-Düsseldorf,182.9880420566368
Frankfurt-Warsaw,893.1618031173986
Frankfurt-Rotterdam,357.4596134055096
Frankfurt-Prague,414.1495797332237
Frankfurt-Lille,402.7448411957546
Frankfurt-Turin,564.0782568708806
Frankfurt-Utrecht,333.89355599513937
Frankfurt-Budapest,816.3951661237869
Frankfurt-Toulouse,905.9080584113076
Frankfurt-Bordeaux,909.266442992528
Frankfurt-Bucharest,1456.4978870116272
Frankfurt-Malmö,676.8729291463808
Frankfurt-Nantes,820.829828253871
Frankfurt-The Hague,379.0676929181476
Frankfurt-Bremen,331.66909182120935
Frankfurt-Bonn,132.72997306710502
Frankfurt-Dresden,374.61905749978655
Frankfurt-Bologna,654.2385907180718
Frankfurt-London,638.9378473919916
Frankfurt-Valencia,1379.4726439256747
Frankfurt-Naples,1117.2078869256788
Frankfurt-Dublin,1091.43810611667
Frankfurt-Athens,1800.884576266332
Frankfurt-Barcelona,1091.9867428623847
Frankfurt-Gothenburg,873.9481160770722
Frankfurt-Nuremburg,186.00619085996107
Frankfurt-Braunschweig,273.26499366570357
Frankfurt-Hanover,263.59527615789005
Frankfurt-Antwerp,326.70847329100076
Frankfurt-Brescia,519.705310582124
Stockholm-Brussels,1287.8663177660933
Stockholm-Vienna,1246.2000152481296
Stockholm-Lisbon,2995.36350558735
Stockholm-Marseille,1986.912488830268
Stockholm-Cologne,1173.2307104780687
Stockholm-Helsinki,394.8329300638056
Stockholm-Lyon,1751.4851262248364
Stockholm-Düsseldorf,1152.87555288695
Stockholm-Warsaw,811.0678916510534
Stockholm-Rotterdam,1187.3656807621899
Stockholm-Prague,1057.4323562664963
Stockholm-Lille,1358.4682550657822
Stockholm-Turin,1736.6998848623152
Stockholm-Utrecht,1143.7148188083443
Stockholm-Budapest,1320.4978641235068
Stockholm-Toulouse,2084.6839828601305
Stockholm-Bordeaux,2045.0955299267496
Stockholm-Bucharest,1745.8160338533548
Stockholm-Malmö,517.8522388890805
Stockholm-Nantes,1870.2532296044908
Stockholm-The Hague,1183.4596792997077
Stockholm-Bremen,904.0752776585177
Stockholm-Bonn,1188.166323776441
Stockholm-Dresden,964.3231398071374
Stockholm-Bologna,1714.4947321867307
Stockholm-London,1438.4236441861513
Stockholm-Valencia,2566.428302987323
Stockholm-Naples,2074.639388697625
Stockholm-Dublin,1635.687715215282
Stockholm-Athens,2410.141686032793
Stockholm-Barcelona,2283.9542159825432
Stockholm-Gothenburg,400.6273888730236
Stockholm-Nuremburg,1190.4616645346318
Stockholm-Braunschweig,919.6952711451426
Stockholm-Hanover,935.3264797102495
Stockholm-Antwerp,1251.052904518222
Stockholm-Brescia,1624.923303262295
Brussels-Vienna,917.9742357366614
Brussels-Lisbon,1711.6666137067236
Brussels-Marseille,842.3090229686412
Brussels-Cologne,184.44873912977206
Brussels-Helsinki,1654.130979625959
Brussels-Lyon,564.2212996362721
Brussels-Düsseldorf,177.0370303019014
Brussels-Warsaw,1164.2804551704378
Brussels-Rotterdam,121.3264009325353
Brussels-Prague,723.7479868910689
Brussels-Lille,90.78302511742446
Brussels-Turin,687.3495622204935
Brussels-Utrecht,151.04042550651192
Brussels-Budapest,1135.3920932099725
Brussels-Toulouse,830.9694354381143
Brussels-Bordeaux,760.2860205770834
Brussels-Bucharest,1775.2662279171332
Brussels-Malmö,784.5955823651955
Brussels-Nantes,591.3204705046201
Brussels-The Hague,138.5555854371616
Brussels-Bremen,395.7846069491461
Brussels-Bonn,194.27770464664428
Brussels-Dresden,661.9603918048633
Brussels-Bologna,878.4390504635901
Brussels-London,320.0483393946676
Brussels-Valencia,1315.8329443858986
Brussels-Naples,1350.5933662806017
Brussels-Dublin,777.4270912860969
Brussels-Athens,2091.9000631634353
Brussels-Barcelona,1063.1294487664627
Brussels-Gothenburg,911.6174904744151
Brussels-Nuremburg,504.5525740205178
Brussels-Braunschweig,457.45531614726093
Brussels-Hanover,411.55654600023706
Brussels-Antwerp,43.030096917600126
Brussels-Brescia,732.7427562098895
Vienna-Lisbon,2302.4863004695203
Vienna-Marseille,1013.1039621609305
Vienna-Cologne,745.0758080737919
Vienna-Helsinki,1442.7249427344427
Vienna-Lyon,917.2384789768894
Vienna-Düsseldorf,767.7031110857564
Vienna-Warsaw,558.5513685060813
Vienna-Rotterdam,944.8552480621445
Vienna-Prague,251.17669373332063
Vienna-Lille,1000.0817579795975
Vienna-Turin,750.6828171034829
Vienna-Utrecht,911.7886767557065
Vienna-Budapest,217.68611965306766
Vienna-Toulouse,1261.6085459818112
Vienna-Bordeaux,1350.4189692880766
Vienna-Bucharest,857.71599634613
Vienna-Malmö,852.4516368673964
Vienna-Nantes,1348.8739624442057
Vienna-The Hague,964.6036460791813
Vienna-Bremen,761.3182530406087
Vienna-Bonn,728.3890361924878
Vienna-Dresden,368.75989729089434
Vienna-Bologna,564.4499067477509
Vienna-London,1237.9558121051264
Vienna-Valencia,1653.8522121367916
Vienna-Naples,832.7589196936128
Vienna-Dublin,1687.215717937577
Vienna-Athens,1282.3051014139635
